,0
0,"{'199', '13', '168', '59', '79', '66', '195', '135', '140', '188', '136', '19', '165', '80', '119', '133', '157', '67', '35', '161', '50', '71', '196', '175', '167', '83', '130', '98', '27', '156', '12', '78', '141', '132', '110', '8', '103', '16', '179', '123', '62', '85', '107', '129', '68', '173', '177', '197', '190', '126', '92', '122', '52', '115', '186', '109', '81', '182', '106', '39', '48', '32', '113', '64', '56', '153', '82', '61', '151', '25', '2', '43', '75', '102', '171', '163', '90', '162', '5', '23', '42', '117', '37', '49', '51', '55', '194', '76', '131', '114', '152', '143', '185', '146', '30', '150', '95', '137', '22', '116', '138', '0', '87', '63', '97', '20', '88', '189', '169', '124', '108', '4', '183', '187', '29', '118', '96', '24', '149', '18', '6', '91', '26', '184', '154', '73', '181', '31', '172', '128', '155', '176', '142', '10', '17', '65', '14', '164', '139', '180', '86', '100', '99', '160', '77', '70', '21', '9', '192', '127', '93', '28', '38', '198', '74', '47', '58', '101', '193', '34', '84', '105', '111', '69', '54', '1', '112', '41', '144', '178', '159', '44', '33', '174', '158', '120', '121', '7', '72', '145', '94', '15', '148', '89', '60', '11', '57', '147', '3', '53', '125', '45', '40', '166', '104', '36', '46', '191', '170', '134'}"
79,"{'93', '97', '92', '28', '79', '39', '56', '25', '44', '6', '91', '50', '174', '90', '5', '94', '65', '86', '78', '95', '62', '70', '68'}"
100,"{'100', '114', '138', '108', '117', '103', '142', '146', '139', '106', '102', '118', '113'}"
126,"{'199', '93', '126', '115', '109', '135', '84', '106', '113', '112', '136', '149', '61', '91', '102', '154', '120', '128', '117', '145', '37', '139', '86', '147', '104', '114', '103'}"
137,"{'128', '125', '149', '137', '129', '134'}"
