,0
0,"{'165', '58', '43', '27', '180', '25', '15', '20', '183', '150', '168', '7', '187', '154', '6', '18', '157', '120', '185', '16', '47', '49', '8', '169', '3', '170', '11', '166', '152', '194', '151', '182', '38', '30', '193', '184', '177', '44', '171', '40', '158', '196', '17', '41', '113', '5', '192', '70', '163', '39', '56', '188', '1', '167', '181', '198', '175', '79', '85', '62', '24', '156', '33', '29', '42', '159', '191', '174', '34', '92', '45', '48', '22', '31', '189', '90', '179', '195', '9', '161', '14', '186', '23', '67', '86', '155', '93', '160', '10', '2', '28', '19', '173', '162', '0', '13', '190', '176', '12', '84', '4', '46', '178', '32', '95', '26', '153', '126', '164', '199', '172', '61', '35', '37', '36', '21', '106', '197'}"
50,"{'105', '89', '58', '124', '118', '112', '133', '76', '148', '69', '134', '68', '114', '127', '97', '168', '145', '154', '111', '130', '64', '120', '123', '136', '135', '88', '75', '55', '107', '121', '60', '115', '137', '131', '103', '171', '72', '113', '143', '70', '77', '144', '56', '101', '50', '81', '51', '119', '116', '79', '73', '85', '62', '128', '125', '117', '100', '94', '174', '92', '52', '90', '22', '140', '59', '54', '65', '67', '86', '149', '99', '82', '93', '10', '142', '110', '57', '28', '146', '71', '78', '84', '147', '74', '63', '129', '96', '95', '126', '98', '83', '132', '138', '80', '53', '141', '109', '61', '91', '87', '139', '102', '66', '104', '106', '122', '108'}"
79,"{'70', '56', '86', '50', '97', '25', '79', '92', '90'}"
100,"{'117', '146', '118', '100', '139', '103', '106', '108'}"
110,"{'105', '122', '86', '148', '95', '68', '110', '125'}"
111,"{'124', '130', '138', '148', '101', '123', '119', '102', '134', '111', '129'}"
126,"{'128', '117', '146', '118', '112', '147', '103', '127', '140', '113', '126', '132', '199', '141', '109', '120', '149', '37', '139', '136', '135', '102', '93', '142', '104', '106'}"
137,"{'149', '137', '134', '129', '125'}"
197,"{'165', '179', '182', '195', '192', '184', '197', '180', '185', '155', '159', '166', '191', '175', '150', '152', '178'}"
