,0
0,"{'165', '124', '43', '21', '112', '133', '180', '148', '69', '15', '68', '168', '7', '187', '130', '157', '120', '123', '185', '16', '47', '136', '8', '169', '135', '88', '55', '11', '166', '151', '182', '193', '184', '60', '115', '177', '44', '131', '158', '196', '41', '113', '143', '70', '163', '39', '144', '50', '116', '167', '181', '85', '62', '94', '42', '92', '52', '45', '48', '22', '31', '189', '140', '9', '161', '14', '86', '149', '99', '82', '10', '57', '162', '13', '12', '84', '147', '74', '63', '129', '178', '32', '95', '96', '153', '172', '53', '141', '109', '61', '37', '66', '111', '197', '105', '89', '58', '118', '27', '76', '25', '20', '183', '134', '114', '127', '150', '97', '145', '154', '6', '18', '64', '49', '75', '3', '170', '107', '152', '194', '38', '121', '30', '137', '103', '171', '40', '72', '17', '5', '192', '77', '56', '188', '101', '1', '81', '51', '119', '198', '175', '79', '73', '125', '24', '156', '128', '117', '33', '29', '100', '159', '191', '174', '34', '90', '179', '195', '59', '186', '54', '23', '67', '65', '155', '93', '160', '142', '110', '28', '19', '173', '146', '71', '0', '78', '190', '176', '4', '46', '26', '126', '164', '98', '83', '132', '199', '138', '80', '35', '91', '87', '139', '36', '102', '2', '104', '106', '122', '108'}"
79,"{'70', '56', '86', '50', '97', '25', '79', '92', '90'}"
100,"{'117', '146', '118', '100', '139', '103', '106', '108'}"
110,"{'105', '124', '148', '137', '134', '68', '129', '95', '110', '130', '138', '86', '101', '149', '123', '119', '102', '111', '122', '125'}"
