,0
0,"{'146', '89', '120', '29', '161', '102', '158', '132', '36', '83', '134', '122', '151', '169', '66', '154', '176', '139', '39', '153', '22', '189', '23', '85', '92', '160', '100', '2', '140', '196', '37', '34', '61', '117', '90', '112', '115', '17', '0', '11', '141', '64', '180', '10', '8', '84', '55', '110', '162', '73', '191', '65', '20', '171', '80', '54', '190', '159', '62', '5', '4', '97', '68', '82', '144', '12', '87', '72', '131', '133', '31', '182', '136', '123', '35', '78', '174', '130', '79', '111', '155', '165', '148', '49', '94', '152', '96', '15', '157', '16', '179', '118', '192', '86', '183', '33', '59', '53', '150', '28', '103', '188', '51', '76', '45', '116', '101', '197', '41', '13', '181', '77', '195', '1', '70', '114', '46', '128', '52', '143', '113', '57', '121', '126', '3', '138', '125', '145', '193', '170', '88', '178', '44', '119', '60', '175', '194', '56', '42', '48', '142', '18', '43', '172', '69', '137', '25', '19', '199', '14', '184', '135', '147', '47', '185', '24', '163', '27', '164', '95', '127', '149', '186', '104', '91', '177', '107', '129', '6', '105', '58', '30', '168', '71', '50', '187', '38', '173', '75', '67', '63', '7', '198', '99', '26', '74', '9', '98', '108', '166', '106', '81', '32', '93', '21', '167', '124', '40', '109', '156'}"
79,"{'50', '70', '92', '56', '79', '90', '97', '86', '25'}"
100,"{'103', '146', '106', '100', '118', '139', '108', '117'}"
110,"{'110', '68', '148', '122', '105', '125', '86', '95'}"
111,"{'119', '123', '130', '149', '111', '102', '101', '124', '129', '134', '148', '137', '138', '125'}"
