,0
0,"{'1', '26', '40', '48', '23', '36', '24', '20', '39', '25', '12', '43', '157', '34', '46', '38', '19', '2', '27', '35', '18', '0', '10', '9', '3', '30', '15', '6', '5', '32', '198', '44', '13', '199', '8', '28', '45', '31', '17', '153', '7', '29'}"
2,"{'35', '10', '23', '49', '3', '6', '5', '24', '32', '20', '22', '21', '14', '12', '11', '46', '38', '2'}"
4,"{'176', '35', '10', '15', '5', '44', '39', '37', '25', '4', '8', '17', '19', '27'}"
9,"{'10', '5', '9'}"
16,"{'33', '16', '42'}"
27,"{'10', '25', '27'}"
35,"{'44', '5', '38', '35'}"
41,{'41'}
47,{'47'}
48,"{'48', '39', '26', '30'}"
49,"{'14', '49'}"
50,"{'69', '94', '71', '50', '77', '74', '87', '82', '65', '92', '80', '51', '96', '88', '70', '52', '81', '53', '78', '55', '73', '76', '63', '64', '56', '60', '99', '58', '89', '90', '54', '83'}"
56,"{'70', '56'}"
57,"{'94', '92', '77', '72', '57', '53', '96', '90', '73', '52', '82'}"
59,"{'67', '68', '59', '61', '62', '75', '66', '91', '93', '85', '86', '95', '84'}"
62,"{'62', '93'}"
67,"{'75', '67', '66'}"
68,"{'61', '84', '68'}"
69,"{'69', '64', '87', '65'}"
71,"{'71', '51', '87'}"
79,{'79'}
83,"{'64', '92', '83'}"
85,"{'85', '93', '84'}"
89,"{'60', '58', '92', '80', '89', '70', '90', '54'}"
97,{'97'}
98,{'98'}
100,"{'106', '100', '146', '118', '120', '109', '121', '108', '117', '103', '141', '102'}"
101,"{'135', '148', '136', '130', '101', '146', '119', '139', '140', '142', '124', '120', '109', '121', '108', '132', '123', '114', '138', '131', '116', '102'}"
104,"{'104', '143'}"
105,"{'124', '148', '109', '105', '130', '132', '123', '119', '102'}"
106,"{'126', '135', '106', '113', '117', '103', '147', '139'}"
107,{'107'}
110,{'110'}
111,{'111'}
112,"{'149', '135', '136', '109', '113', '112', '131', '128', '139', '102'}"
114,"{'109', '136', '115', '132', '114', '131', '102'}"
115,"{'115', '114', '144'}"
116,"{'109', '116'}"
122,"{'122', '125'}"
127,{'127'}
128,"{'136', '128', '112'}"
129,{'129'}
133,{'133'}
134,{'134'}
137,{'137'}
138,"{'138', '102'}"
139,"{'135', '106', '132', '139', '102'}"
140,"{'109', '140', '142'}"
141,"{'121', '141'}"
145,{'145'}
150,"{'191', '150', '188', '174', '180', '167', '158', '181', '159', '157', '161', '168', '176', '195', '184', '155', '197', '198', '182', '179', '166', '156', '163', '171', '183', '190', '175', '199', '152', '164', '192', '185'}"
151,"{'170', '199', '157', '151', '187', '198'}"
153,"{'188', '153', '0'}"
154,{'154'}
155,"{'193', '155', '159'}"
157,"{'176', '1', '170', '169', '188', '15', '198', '156', '163', '167', '158', '199', '173', '157', '189', '151', '17', '153', '192', '162'}"
160,"{'193', '175', '155', '161', '172', '160'}"
161,"{'191', '174', '179', '182', '166', '160', '190', '193', '175', '177', '152', '161', '172', '185'}"
162,"{'158', '176', '188', '196', '192', '162', '37'}"
163,"{'188', '198', '156', '192', '163'}"
165,{'165'}
167,"{'158', '173', '189', '188', '196', '183', '167'}"
169,"{'158', '169'}"
177,"{'161', '175', '177'}"
178,{'178'}
186,{'186'}
187,"{'187', '151'}"
190,"{'190', '175', '185'}"
191,"{'191', '150', '175', '159', '166', '161'}"
194,{'194'}
196,"{'167', '196', '162'}"
197,"{'197', '159'}"
