,0
0,"{'86', '133', '136', '134', '113', '84', '66', '82', '117', '188', '194', '192', '37', '74', '180', '186', '185', '165', '83', '25', '39', '68', '169', '62', '154', '189', '99', '73', '70', '148', '171', '119', '96', '59', '6', '102', '137', '56', '27', '53', '130', '57', '100', '127', '164', '181', '128', '75', '33', '67', '69', '18', '178', '146', '182', '40', '45', '17', '78', '85', '89', '19', '129', '77', '172', '47', '3', '190', '140', '110', '63', '187', '50', '157', '167', '8', '160', '55', '93', '106', '152', '138', '118', '114', '139', '147', '144', '126', '108', '183', '179', '109', '7', '156', '9', '158', '43', '107', '15', '159', '64', '103', '51', '116', '198', '193', '10', '58', '16', '155', '98', '30', '87', '46', '135', '76', '151', '184', '79', '44', '42', '177', '197', '175', '124', '111', '97', '199', '4', '71', '80', '88', '1', '90', '142', '143', '132', '12', '2', '174', '23', '20', '162', '173', '122', '24', '191', '28', '131', '11', '94', '196', '168', '104', '52', '14', '92', '150', '65', '34', '41', '176', '81', '61', '123', '22', '35', '38', '48', '5', '153', '21', '149', '101', '170', '29', '115', '60', '31', '125', '112', '0', '121', '26', '54', '141', '195', '13', '36', '95', '49', '72', '166', '145', '91', '105', '120', '161', '32', '163'}"
79,"{'86', '65', '92', '50', '79', '44', '5', '93', '97', '25', '39', '68', '62', '90', '70', '174', '95', '6', '56', '91', '28', '94', '78'}"
100,"{'86', '136', '113', '84', '135', '61', '117', '149', '106', '138', '93', '37', '118', '114', '139', '199', '147', '115', '126', '142', '112', '108', '109', '154', '102', '100', '145', '128', '91', '103', '120', '146', '104'}"
137,"{'129', '149', '128', '134', '125', '137'}"
